Chem_name,CAS,consensus_2_agonist,Potency_class_2_agonist,consensus_2_antagonist,Potency_class_2_antagonist
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methylethyl)-, (1S,4S)-",483-77-2,0,Suspicious,1,VeryWeak
calamenene,22339-23-7,0,Suspicious,1,VeryWeak
"2,9-dimethyl-1,10-phenanthroline",484-11-7,0,Inactive,0,Inactive
"2,9-dimethyl-1,10-phenanthroline",7296-20-0,0,Inactive,0,Inactive
dillapiol,484-31-1,0,Inactive,0,Inactive
"1,3-Propanedione, 1-(4-methoxy-5-benzofuranyl)-3-phenyl-",484-33-3,1,VeryWeak,1,VeryWeak
3-hydroxykynurenine,484-78-6,0,Suspicious,0,Suspicious
"(S)-1,2,3,4-tetrahydro-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-methylisoquinolin-7-ol",485-19-8,0,Suspicious,0,Suspicious
PHTHALYLSULFAMETHIZOLE,485-24-5,0,Inactive,0,Inactive
sulfachrysoidine,485-41-6,0,Suspicious,1,VeryWeak
diphenyldiarsenic acid,4519-32-8,0,Suspicious,1,VeryWeak
"(8?,9R)-10,11-dihydrocinchonan-9-ol",485-64-3,0,Inactive,0,Inactive
Hydrocinchonine,485-65-4,0,Inactive,0,Inactive
Adenosine Phosphosulfate,485-84-7,0,Inactive,0,Inactive
captodiame,486-17-9,0,Inactive,0,Inactive
"7,8-dihydroxycoumarin",486-35-1,1,VeryWeak,1,VeryWeak
"5-allyl-1,2,3-trimethoxybenzene",487-11-6,0,Inactive,0,Inactive
"pteridine-2,4-diol monohydrate",487-21-8,0,Inactive,0,Inactive
hydroxyprocaine,487-53-6,0,Inactive,0,Inactive
2-hydroxyhippuric acid,487-54-7,0,Inactive,0,Inactive
"indican, plant",487-60-5,0,Inactive,0,Inactive
Porphobilinogen,487-90-1,0,Inactive,0,Inactive
2-hydroxy-3-methylvaleric acid,488-15-3,0,Inactive,0,Inactive
"3-Methyl-Benzene-1,2-Diol",488-17-5,0,Suspicious,0,Suspicious
"1,2,3,4-tetramethylbenzene",488-23-3,0,Inactive,0,Inactive
"Benzene, tetramethyl-",25619-60-7,0,Inactive,0,Inactive
D-Arabinonic acid,488-30-2,0,Inactive,0,Inactive
1-amino-1-deoxy-D-glucitol,488-43-7,0,Inactive,0,Inactive
D-erythro-pent-2-ulose,488-84-6,0,Inactive,0,Inactive
L-Threo-2-pentulose,527-50-4,0,Inactive,0,Inactive
D-Xylulose,551-84-8,0,Inactive,0,Inactive
L-Ribulose,2042-27-5,0,Inactive,0,Inactive
3-furoic acid,488-93-7,0,Inactive,0,Inactive
"[1aR-(1a?,4a?,7?,7a?,7b?)]-decahydro-1,1,7-trimethyl-4-methylene-1H-cycloprop[e]azulene",489-39-4,1,VeryWeak,0,Suspicious
alloaromadendrene,25246-27-9,1,VeryWeak,0,Suspicious
aromadendrene,72747-25-2,1,VeryWeak,0,Suspicious
