protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
3UU7,29331-92-8_min,2OH_redock_3UU7,0.3644,2.1873,inf
3UU7,104746-04-5_min,2OH_redock_3UU7,0.3644,2.1873,inf
3UU7,541-02-6_min,2OH_redock_3UU7,0.3573,1.6687,inf
3UU7,7432-28-2_min,2OH_redock_3UU7,0.3353,2.0441,inf
3UU7,7374-53-0_min,2OH_redock_3UU7,0.3075,1.8218,inf
3UU7,66722-44-9_min,2OH_redock_3UU7,0.2973,1.8124,inf
3UU7,2163-68-0_min,2OH_redock_3UU7,0.2427,1.2882,inf
3UU7,16287-71-1_min,2OH_redock_3UU7,0.2282,1.5664,inf
3UU7,134523-00-5_min,2OH_redock_3UU7,0.1614,1.1344,inf
3UUD,53-16-7_min,EST_redock_3UUD,0.9910,7.9487,0.6762
3UUD,474-86-2_min,EST_redock_3UUD,0.9880,7.9237,0.7848
3UUD,50-28-2_min,EST_redock_3UUD,0.9860,8.0865,0.6127
3UUD,50-27-1_min,EST_redock_3UUD,0.9838,8.1722,0.3222
3UUD,57-91-0_min,EST_redock_3UUD,0.9814,7.9788,0.6730
3UUD,53-63-4_min,EST_redock_3UUD,0.9753,7.6183,inf
3UUD,5696-58-2_min,EST_redock_3UUD,0.9733,7.3823,0.5129
3UUD,53-43-0_min,EST_redock_3UUD,0.9689,7.8612,0.6143
3UUD,84-16-2_min,EST_redock_3UUD,0.9631,7.9807,inf
3UUD,481-29-8_min,EST_redock_3UUD,0.9585,7.7839,0.5866
3UUD,362-05-0_min,EST_redock_3UUD,0.9584,7.5353,0.5940
3UUD,5976-61-4_min,EST_redock_3UUD,0.9582,7.7376,0.4087
3UUD,56-53-1_min,EST_redock_3UUD,0.9387,7.6332,inf
3UUD,84-17-3_min,EST_redock_3UUD,0.9272,7.6365,inf
3UUD,84057-84-1_min,EST_redock_3UUD,0.9244,6.5629,inf
3UUD,34816-55-2_min,EST_redock_3UUD,0.9219,7.5007,0.8700
3UUD,103-90-2_min,EST_redock_3UUD,0.9090,4.3868,inf
