protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD,affinity
4MGC,28721-07-5_min,27M_redock_4MGC,0.6887,4.3640,inf,-6.4670
4MGC,58-08-2_min,27M_redock_4MGC,0.6804,3.6516,inf,-5.7604
4MGC,2243-62-1_min,27M_redock_4MGC,0.6518,3.0928,inf,-7.0706
4MGC,537-46-2_min,27M_redock_4MGC,0.6446,2.8177,inf,-5.4492
4MGC,126-73-8_min,27M_redock_4MGC,0.6408,2.5409,inf,-5.2981
4MGC,34014-18-1_min,27M_redock_4MGC,0.6287,3.6352,inf,-6.2043
4MGC,69335-91-7_min,27M_redock_4MGC,0.6258,4.3798,inf,-3.6608
4MGC,2631-40-5_min,27M_redock_4MGC,0.6200,3.4752,inf,-5.8459
4MGC,10605-21-7_min,27M_redock_4MGC,0.6091,3.3224,inf,-6.3998
4MGC,298-46-4_min,27M_redock_4MGC,0.5838,3.6448,inf,-8.2528
4MGC,144-83-2_min,27M_redock_4MGC,0.5790,3.6558,inf,-7.6327
4MGC,1222-05-5_min,27M_redock_4MGC,0.5787,3.9890,inf,-8.1360
4MGC,34911-55-2_min,27M_redock_4MGC,0.5664,3.3851,inf,-7.2142
4MGC,29331-92-8_min,27M_redock_4MGC,0.5588,3.3785,inf,-7.5742
4MGC,104746-04-5_min,27M_redock_4MGC,0.5588,3.3785,inf,-7.5742
4MGC,60207-90-1_min,27M_redock_4MGC,0.5485,3.8639,inf,-6.4553
4MGC,36507-30-9_min,27M_redock_4MGC,0.5463,3.1450,inf,-6.2171
4MGC,58-73-1_min,27M_redock_4MGC,0.5238,3.0666,inf,-7.7989
4MGC,601-57-0_min,27M_redock_4MGC,0.5034,3.9928,inf,-3.0209
4MGC,301-02-0_min,27M_redock_4MGC,0.4760,3.4839,inf,-6.0477
4MGC,525-66-6_min,27M_redock_4MGC,0.4656,3.0117,inf,-7.7897
4MGC,14800-24-9_min,27M_redock_4MGC,0.4497,1.7336,inf,-5.5881
4MGC,1912-24-9_min,27M_redock_4MGC,0.4360,2.5385,inf,-5.0835
4MGC,5051-22-9_min,27M_redock_4MGC,0.4303,2.7298,inf,-7.0502
4MGC,122-34-9_min,27M_redock_4MGC,0.4285,2.4325,inf,-5.1055
4MGC,541-02-6_min,27M_redock_4MGC,0.4098,1.8262,inf,14.9231
4MGC,72-33-3_min,27M_redock_4MGC,0.4093,3.0574,inf,-4.0644
4MGC,107534-96-3_min,27M_redock_4MGC,0.3837,2.6962,inf,-6.7400
4MGC,2163-68-0_min,27M_redock_4MGC,0.3763,2.0084,inf,-5.5696
4MGC,540-97-6_min,27M_redock_4MGC,0.3719,1.6348,inf,21.8340
4MGC,3930-20-9_min,27M_redock_4MGC,0.3504,2.2287,inf,-5.2274
4MGC,93413-69-5_min,27M_redock_4MGC,0.2948,1.8384,inf,-7.5149
4MGC,18684-55-4_min,27M_redock_4MGC,0.2937,1.7523,inf,8.0326
4MGC,66722-44-9_min,27M_redock_4MGC,0.2849,1.7650,inf,-6.2236
4MGC,58955-93-4_min,27M_redock_4MGC,0.2805,1.5651,inf,-4.9891
4MGC,125-71-3_min,27M_redock_4MGC,0.2387,1.4428,inf,-6.0910
4MGC,7374-53-0_min,27M_redock_4MGC,0.2353,1.3143,inf,-5.0125
4MGC,7432-28-2_min,27M_redock_4MGC,0.2340,1.4520,inf,8.0191
4MGC,16287-71-1_min,27M_redock_4MGC,0.2080,1.3546,inf,-6.6099
4MGC,134523-00-5_min,27M_redock_4MGC,0.1605,0.9710,inf,15.6078
4TUZ,53-16-7_min,36J_redock_4TUZ,0.9782,7.8868,inf,-10.8787
4TUZ,50-28-2_min,36J_redock_4TUZ,0.9705,8.0251,inf,-11.0243
4TUZ,474-86-2_min,36J_redock_4TUZ,0.9684,7.8438,inf,-10.4236
4TUZ,53-63-4_min,36J_redock_4TUZ,0.9626,7.6836,inf,-10.6373
4TUZ,57-91-0_min,36J_redock_4TUZ,0.9626,7.9547,inf,-10.8297
4TUZ,5696-58-2_min,36J_redock_4TUZ,0.9529,7.2718,inf,-11.0185
4TUZ,53-43-0_min,36J_redock_4TUZ,0.9479,7.5804,inf,-10.6025
4TUZ,50-27-1_min,36J_redock_4TUZ,0.9399,7.6100,inf,-10.8038
4TUZ,481-29-8_min,36J_redock_4TUZ,0.9319,7.4774,inf,-10.6287
4TUZ,362-05-0_min,36J_redock_4TUZ,0.9249,7.1641,inf,-11.2754
4TUZ,84-16-2_min,36J_redock_4TUZ,0.9235,7.3405,inf,-8.2773
4TUZ,56-53-1_min,36J_redock_4TUZ,0.9118,7.4040,inf,-8.7647
4TUZ,5976-61-4_min,36J_redock_4TUZ,0.9005,6.9493,inf,-10.5012
4TUZ,85-68-7_min,36J_redock_4TUZ,0.8691,5.4572,inf,-8.0632
4TUZ,84-17-3_min,36J_redock_4TUZ,0.8592,6.8016,inf,-8.9129
4TUZ,84057-84-1_min,36J_redock_4TUZ,0.8552,6.1266,inf,-7.4906
4TUZ,34816-55-2_min,36J_redock_4TUZ,0.8506,7.0605,inf,-7.2480
4TUZ,57-63-6_min,36J_redock_4TUZ,0.8450,7.0344,inf,-7.6308
4TUZ,876-04-0_min,36J_redock_4TUZ,0.7942,3.9885,inf,-5.6198
4TUZ,103-90-2_min,36J_redock_4TUZ,0.7865,3.9183,inf,-5.9486
4TUZ,95-14-7_min,36J_redock_4TUZ,0.7846,3.0230,inf,-5.4517
4TUZ,126-73-8_min,36J_redock_4TUZ,0.7403,3.1488,inf,-5.5595
4TUZ,134-62-3_min,36J_redock_4TUZ,0.7165,3.5366,inf,-6.1252
4TUZ,738-70-5_min,36J_redock_4TUZ,0.6958,5.2536,inf,-6.3964
4TUZ,298-46-4_min,36J_redock_4TUZ,0.6877,4.3644,inf,-8.6446
4TUZ,1222-05-5_min,36J_redock_4TUZ,0.6799,4.5935,inf,-9.1895
4TUZ,2631-40-5_min,36J_redock_4TUZ,0.6642,3.8368,inf,-6.0589
4TUZ,93413-62-8_min,36J_redock_4TUZ,0.6432,4.4628,inf,-8.3004
4TUZ,301-02-0_min,36J_redock_4TUZ,0.6214,4.7389,inf,-6.2711
4TUZ,2243-62-1_min,36J_redock_4TUZ,0.6125,2.8201,inf,-6.9115
4TUZ,15569-85-4_min,36J_redock_4TUZ,0.6095,3.1888,inf,-6.0438
4TUZ,34014-18-1_min,36J_redock_4TUZ,0.6070,3.8853,inf,-5.8842
4TUZ,104746-04-5_min,36J_redock_4TUZ,0.6012,3.6435,inf,-8.5042
4TUZ,29331-92-8_min,36J_redock_4TUZ,0.6012,3.6435,inf,-8.5042
4TUZ,60207-90-1_min,36J_redock_4TUZ,0.6004,4.3809,inf,-6.5777
4TUZ,28721-07-5_min,36J_redock_4TUZ,0.5833,3.6814,inf,-8.8760
4TUZ,36507-30-9_min,36J_redock_4TUZ,0.5696,3.7374,inf,-7.7845
4TUZ,34911-55-2_min,36J_redock_4TUZ,0.5610,3.4922,inf,-6.8963
4TUZ,58-08-2_min,36J_redock_4TUZ,0.5542,2.7015,inf,-5.5675
4TUZ,537-46-2_min,36J_redock_4TUZ,0.5472,2.4540,inf,-5.0497
4TUZ,42542-10-9_min,36J_redock_4TUZ,0.5445,2.7249,inf,-5.8125
4TUZ,601-57-0_min,36J_redock_4TUZ,0.5240,4.1840,inf,0.6894
4TUZ,144-83-2_min,36J_redock_4TUZ,0.4893,2.7638,inf,-7.6667
4TUZ,72-33-3_min,36J_redock_4TUZ,0.4580,3.4749,inf,-5.1767
4TUZ,107534-96-3_min,36J_redock_4TUZ,0.4574,3.2857,inf,-6.8999
4TUZ,525-66-6_min,36J_redock_4TUZ,0.4396,2.6724,inf,-7.8122
4TUZ,97-39-2_min,36J_redock_4TUZ,0.4241,2.7966,inf,-8.2161
4TUZ,18684-55-4_min,36J_redock_4TUZ,0.4099,2.7353,inf,-6.1495
4TUZ,1912-24-9_min,36J_redock_4TUZ,0.4082,2.3166,inf,-5.7845
4TUZ,14800-24-9_min,36J_redock_4TUZ,0.3987,1.4730,inf,-4.7680
4TUZ,122-34-9_min,36J_redock_4TUZ,0.3936,2.2673,inf,-4.5104
4TUZ,58-73-1_min,36J_redock_4TUZ,0.3873,2.1470,inf,-7.7735
4TUZ,54-11-5_min,36J_redock_4TUZ,0.3835,1.9942,inf,-5.3708
4TUZ,10605-21-7_min,36J_redock_4TUZ,0.3797,2.0059,inf,-6.2756
4TUZ,541-02-6_min,36J_redock_4TUZ,0.3704,1.6157,inf,7.4262
4TUZ,5051-22-9_min,36J_redock_4TUZ,0.3635,2.1861,inf,-7.8058
4TUZ,7374-53-0_min,36J_redock_4TUZ,0.3515,1.9691,inf,-5.8964
4TUZ,540-97-6_min,36J_redock_4TUZ,0.3425,1.4784,inf,21.2656
4TUZ,2163-68-0_min,36J_redock_4TUZ,0.3284,1.6840,inf,-5.7049
4TUZ,58955-93-4_min,36J_redock_4TUZ,0.3270,1.9708,inf,-6.8231
4TUZ,66722-44-9_min,36J_redock_4TUZ,0.3236,1.9535,inf,-1.5796
4TUZ,3930-20-9_min,36J_redock_4TUZ,0.3217,1.3948,inf,33.1331
4TUZ,7432-28-2_min,36J_redock_4TUZ,0.3209,2.1029,inf,8.0174
4TUZ,93413-69-5_min,36J_redock_4TUZ,0.2851,1.8065,inf,-7.2334
4TUZ,69335-91-7_min,36J_redock_4TUZ,0.2806,1.5632,inf,18.4801
4TUZ,16287-71-1_min,36J_redock_4TUZ,0.2271,1.4918,inf,-6.5034
4TUZ,134523-00-5_min,36J_redock_4TUZ,0.2254,1.7078,inf,7.4846
4TUZ,125-71-3_min,36J_redock_4TUZ,0.2094,1.3640,inf,-4.4258
4ZN7,84-16-2_min,DES_redock_4ZN7,0.9858,8.3861,2.3310,-9.1818
4ZN7,84-17-3_min,DES_redock_4ZN7,0.9849,8.4305,0.5522,-10.1345
4ZN7,53-16-7_min,DES_redock_4ZN7,0.9848,8.0464,inf,-11.3566
4ZN7,56-53-1_min,DES_redock_4ZN7,0.9824,8.3163,0.4520,-9.9189
4ZN7,50-28-2_min,DES_redock_4ZN7,0.9763,8.3095,inf,-11.0712
4ZN7,57-91-0_min,DES_redock_4ZN7,0.9754,8.0391,inf,-11.2250
4ZN7,474-86-2_min,DES_redock_4ZN7,0.9713,8.1406,inf,-10.4491
4ZN7,53-63-4_min,DES_redock_4ZN7,0.9709,7.8754,inf,-11.0473
4ZN7,5696-58-2_min,DES_redock_4ZN7,0.9641,7.5150,inf,-10.6073
4ZN7,53-43-0_min,DES_redock_4ZN7,0.9581,7.8363,inf,-10.7761
4ZN7,50-27-1_min,DES_redock_4ZN7,0.9533,7.9881,inf,-10.8416
4ZN7,481-29-8_min,DES_redock_4ZN7,0.9397,7.5241,inf,-10.5553
4ZN7,84057-84-1_min,DES_redock_4ZN7,0.9372,6.9242,inf,-7.6916
4ZN7,5976-61-4_min,DES_redock_4ZN7,0.9169,7.4652,inf,-10.8431
4ZN7,362-05-0_min,DES_redock_4ZN7,0.9116,7.2814,inf,-10.6300
4ZN7,738-70-5_min,DES_redock_4ZN7,0.9099,7.0428,inf,-6.7816
4ZN7,57-63-6_min,DES_redock_4ZN7,0.8767,7.2867,inf,-9.3312
4ZN7,34816-55-2_min,DES_redock_4ZN7,0.8763,7.3901,inf,-7.5701
4ZN7,103-90-2_min,DES_redock_4ZN7,0.8666,4.1858,inf,-5.8715
4ZN7,15569-85-4_min,DES_redock_4ZN7,0.8610,4.8374,inf,-6.0664
4ZN7,301-02-0_min,DES_redock_4ZN7,0.8496,6.8648,inf,-6.9589
4ZN7,95-14-7_min,DES_redock_4ZN7,0.8308,3.2065,inf,-5.3424
4ZN7,876-04-0_min,DES_redock_4ZN7,0.8218,3.9150,inf,-5.7799
4ZN7,93413-62-8_min,DES_redock_4ZN7,0.7665,5.6746,inf,-7.7990
4ZN7,58-08-2_min,DES_redock_4ZN7,0.7552,4.0611,inf,-5.5594
4ZN7,54-11-5_min,DES_redock_4ZN7,0.7367,3.7779,inf,-5.7488
4ZN7,42542-10-9_min,DES_redock_4ZN7,0.7342,4.3018,inf,-6.0453
4ZN7,134-62-3_min,DES_redock_4ZN7,0.7017,3.5071,inf,-6.7650
4ZN7,72-33-3_min,DES_redock_4ZN7,0.6665,5.3277,inf,-4.3078
4ZN7,126-73-8_min,DES_redock_4ZN7,0.6579,2.6955,inf,-5.6152
4ZN7,1222-05-5_min,DES_redock_4ZN7,0.6512,4.4243,inf,-9.4051
4ZN7,298-46-4_min,DES_redock_4ZN7,0.6432,4.2046,inf,-8.7862
4ZN7,36507-30-9_min,DES_redock_4ZN7,0.6270,3.9132,inf,-7.6608
4ZN7,2631-40-5_min,DES_redock_4ZN7,0.6221,3.7689,inf,-6.3854
4ZN7,85-68-7_min,DES_redock_4ZN7,0.6196,3.3789,inf,-6.6198
4ZN7,7374-53-0_min,DES_redock_4ZN7,0.6169,3.5855,inf,-6.4821
4ZN7,144-83-2_min,DES_redock_4ZN7,0.6047,3.6706,inf,-7.5014
4ZN7,28721-07-5_min,DES_redock_4ZN7,0.5927,3.8811,inf,-6.5565
4ZN7,14800-24-9_min,DES_redock_4ZN7,0.5802,2.1362,inf,-5.4995
4ZN7,537-46-2_min,DES_redock_4ZN7,0.5662,2.8989,inf,-5.0717
4ZN7,58-73-1_min,DES_redock_4ZN7,0.5382,3.2503,inf,-7.2254
4ZN7,60207-90-1_min,DES_redock_4ZN7,0.5335,3.9236,inf,-5.0619
4ZN7,29331-92-8_min,DES_redock_4ZN7,0.5320,3.3546,inf,-7.5185
4ZN7,104746-04-5_min,DES_redock_4ZN7,0.5320,3.3546,inf,-7.5185
4ZN7,2163-68-0_min,DES_redock_4ZN7,0.5078,2.6616,inf,-5.9662
4ZN7,122-34-9_min,DES_redock_4ZN7,0.4747,2.7228,inf,-4.7415
4ZN7,2243-62-1_min,DES_redock_4ZN7,0.4661,2.2228,inf,-6.3615
4ZN7,34014-18-1_min,DES_redock_4ZN7,0.4563,2.9564,inf,-5.6125
4ZN7,3930-20-9_min,DES_redock_4ZN7,0.4470,2.7133,inf,-4.8327
4ZN7,58955-93-4_min,DES_redock_4ZN7,0.4464,2.7124,inf,-7.4374
4ZN7,601-57-0_min,DES_redock_4ZN7,0.4438,3.3399,inf,-2.6601
4ZN7,34911-55-2_min,DES_redock_4ZN7,0.4398,2.6615,inf,-7.1467
4ZN7,540-97-6_min,DES_redock_4ZN7,0.4318,1.9968,inf,21.6061
4ZN7,107534-96-3_min,DES_redock_4ZN7,0.4299,3.1323,inf,-6.4614
4ZN7,97-39-2_min,DES_redock_4ZN7,0.4186,2.7081,inf,-7.8029
4ZN7,10605-21-7_min,DES_redock_4ZN7,0.4043,2.1198,inf,-6.4683
4ZN7,93413-69-5_min,DES_redock_4ZN7,0.3986,2.6711,inf,-4.3645
4ZN7,69335-91-7_min,DES_redock_4ZN7,0.3893,2.7890,inf,-6.7486
4ZN7,1912-24-9_min,DES_redock_4ZN7,0.3805,2.3050,inf,-5.4440
4ZN7,525-66-6_min,DES_redock_4ZN7,0.3751,2.3585,inf,-6.9613
4ZN7,541-02-6_min,DES_redock_4ZN7,0.3684,1.6242,inf,6.1581
4ZN7,125-71-3_min,DES_redock_4ZN7,0.3231,2.0704,inf,-7.4234
4ZN7,5051-22-9_min,DES_redock_4ZN7,0.2975,1.8948,inf,-7.1458
4ZN7,66722-44-9_min,DES_redock_4ZN7,0.2796,1.6834,inf,-6.9448
4ZN7,16287-71-1_min,DES_redock_4ZN7,0.2748,1.9130,inf,-6.5087
4ZN7,7432-28-2_min,DES_redock_4ZN7,0.2561,1.6109,inf,23.2504
4ZN7,18684-55-4_min,DES_redock_4ZN7,0.2454,1.4491,inf,7.0288
4ZN7,134523-00-5_min,DES_redock_4ZN7,0.1784,1.0752,inf,8.4713
6CBZ,53-16-7_min,EST_redock_6CBZ,0.9874,7.9654,0.5623,-11.4125
6CBZ,474-86-2_min,EST_redock_6CBZ,0.9870,7.9257,0.7749,-11.1800
6CBZ,50-28-2_min,EST_redock_6CBZ,0.9833,8.2554,0.5213,-11.4709
6CBZ,57-91-0_min,EST_redock_6CBZ,0.9790,8.1477,0.6064,-11.2070
6CBZ,50-27-1_min,EST_redock_6CBZ,0.9752,7.9621,0.4214,-11.7983
6CBZ,5696-58-2_min,EST_redock_6CBZ,0.9695,7.5132,0.6458,-11.0944
6CBZ,53-43-0_min,EST_redock_6CBZ,0.9652,7.9192,0.6037,-11.1599
6CBZ,53-63-4_min,EST_redock_6CBZ,0.9643,7.6754,inf,-10.7863
6CBZ,5976-61-4_min,EST_redock_6CBZ,0.9525,7.5988,0.4482,-11.4364
6CBZ,481-29-8_min,EST_redock_6CBZ,0.9522,7.7174,0.5941,-11.0748
6CBZ,84-16-2_min,EST_redock_6CBZ,0.9516,7.8213,inf,-8.2452
6CBZ,56-53-1_min,EST_redock_6CBZ,0.9503,7.7402,inf,-8.6276
6CBZ,84057-84-1_min,EST_redock_6CBZ,0.9412,6.7503,inf,-7.5939
6CBZ,84-17-3_min,EST_redock_6CBZ,0.9376,7.7568,inf,-8.8546
6CBZ,362-05-0_min,EST_redock_6CBZ,0.9303,7.4451,0.6157,-11.4594
6CBZ,57-63-6_min,EST_redock_6CBZ,0.8922,7.3047,0.8486,-9.2362
6CBZ,34816-55-2_min,EST_redock_6CBZ,0.8752,7.4315,0.8863,-8.4818
6CBZ,738-70-5_min,EST_redock_6CBZ,0.8277,6.4864,inf,-6.7752
6CBZ,876-04-0_min,EST_redock_6CBZ,0.8219,4.1637,inf,-5.5027
6CBZ,301-02-0_min,EST_redock_6CBZ,0.8195,6.3242,inf,-6.3973
6CBZ,95-14-7_min,EST_redock_6CBZ,0.8174,3.1375,inf,-5.5354
6CBZ,103-90-2_min,EST_redock_6CBZ,0.8167,3.9288,inf,-5.9007
6CBZ,85-68-7_min,EST_redock_6CBZ,0.8085,5.1112,inf,-7.6115
6CBZ,93413-62-8_min,EST_redock_6CBZ,0.8008,5.4283,inf,-8.4291
6CBZ,126-73-8_min,EST_redock_6CBZ,0.7339,2.9789,inf,-5.3249
6CBZ,58-08-2_min,EST_redock_6CBZ,0.6644,3.3024,inf,-5.7088
6CBZ,2631-40-5_min,EST_redock_6CBZ,0.6480,3.8275,inf,-6.0896
6CBZ,15569-85-4_min,EST_redock_6CBZ,0.6353,3.3494,inf,-6.3745
6CBZ,72-33-3_min,EST_redock_6CBZ,0.6290,4.8885,0.5952,-7.0853
6CBZ,28721-07-5_min,EST_redock_6CBZ,0.6118,3.9406,inf,-8.0854
6CBZ,144-83-2_min,EST_redock_6CBZ,0.6054,3.9572,inf,-7.1919
6CBZ,2163-68-0_min,EST_redock_6CBZ,0.5930,3.0328,inf,-5.6600
6CBZ,34014-18-1_min,EST_redock_6CBZ,0.5908,3.8960,inf,-5.7701
6CBZ,298-46-4_min,EST_redock_6CBZ,0.5643,3.6815,inf,-8.8641
6CBZ,36507-30-9_min,EST_redock_6CBZ,0.5578,3.6441,inf,-7.4444
6CBZ,134-62-3_min,EST_redock_6CBZ,0.5545,2.7901,inf,-6.3166
6CBZ,1222-05-5_min,EST_redock_6CBZ,0.5526,3.6594,inf,-8.7412
6CBZ,60207-90-1_min,EST_redock_6CBZ,0.5506,3.9890,inf,-7.1362
6CBZ,58955-93-4_min,EST_redock_6CBZ,0.5437,3.0477,inf,8.8368
6CBZ,58-73-1_min,EST_redock_6CBZ,0.5436,3.1655,inf,-7.5939
6CBZ,2243-62-1_min,EST_redock_6CBZ,0.5357,2.5054,inf,-6.7090
6CBZ,104746-04-5_min,EST_redock_6CBZ,0.5335,3.2749,inf,-7.7468
6CBZ,29331-92-8_min,EST_redock_6CBZ,0.5335,3.2749,inf,-7.7468
6CBZ,54-11-5_min,EST_redock_6CBZ,0.5254,2.7849,inf,-5.3581
6CBZ,107534-96-3_min,EST_redock_6CBZ,0.5178,3.7163,inf,-6.4898
6CBZ,10605-21-7_min,EST_redock_6CBZ,0.5077,2.5927,inf,-5.5138
6CBZ,537-46-2_min,EST_redock_6CBZ,0.4965,2.0312,inf,-5.5443
6CBZ,7374-53-0_min,EST_redock_6CBZ,0.4952,2.7793,inf,-6.1768
6CBZ,34911-55-2_min,EST_redock_6CBZ,0.4792,2.7612,inf,-6.7858
6CBZ,42542-10-9_min,EST_redock_6CBZ,0.4716,2.5673,inf,-6.0912
6CBZ,69335-91-7_min,EST_redock_6CBZ,0.4713,2.5522,inf,4.3001
6CBZ,18684-55-4_min,EST_redock_6CBZ,0.4649,3.1205,inf,-7.0288
6CBZ,525-66-6_min,EST_redock_6CBZ,0.4510,2.8709,inf,-7.1947
6CBZ,97-39-2_min,EST_redock_6CBZ,0.4506,2.9207,inf,-3.7695
6CBZ,601-57-0_min,EST_redock_6CBZ,0.4442,3.3446,inf,9.4917
6CBZ,122-34-9_min,EST_redock_6CBZ,0.4400,2.3953,inf,-4.8942
6CBZ,14800-24-9_min,EST_redock_6CBZ,0.4196,1.5322,inf,-5.0137
6CBZ,93413-69-5_min,EST_redock_6CBZ,0.4131,2.6366,inf,-7.8190
6CBZ,1912-24-9_min,EST_redock_6CBZ,0.4121,2.3638,inf,-5.7115
6CBZ,5051-22-9_min,EST_redock_6CBZ,0.4019,2.5580,inf,-7.2077
6CBZ,16287-71-1_min,EST_redock_6CBZ,0.4009,2.5031,inf,-4.6916
6CBZ,541-02-6_min,EST_redock_6CBZ,0.3510,1.3306,inf,9.4575
6CBZ,3930-20-9_min,EST_redock_6CBZ,0.3466,2.1359,inf,-7.0540
6CBZ,540-97-6_min,EST_redock_6CBZ,0.3415,1.4555,inf,25.0468
6CBZ,66722-44-9_min,EST_redock_6CBZ,0.3289,2.0692,inf,-6.8019
6CBZ,125-71-3_min,EST_redock_6CBZ,0.2095,1.3233,inf,-8.0643
6CBZ,134523-00-5_min,EST_redock_6CBZ,0.1748,1.2158,inf,7.0649
6CBZ,7432-28-2_min,EST_redock_6CBZ,0.1382,0.8470,inf,9.6938
