ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
15372-34-6_min,1ERE,EST_redock_1ERE,0.7921,5.7044,inf
15372-34-6_min,3UUD,EST_redock_3UUD,0.7904,5.7723,inf
15372-34-6_min,3ERD,DES_redock_3ERD,0.7605,5.4987,inf
15372-34-6_min,4MG8,27J_redock_4MG8,0.7034,5.0437,inf
15372-34-6_min,1G50,EST_redock_1G50,0.6991,5.0635,inf
15372-34-6_min,6CBZ,EST_redock_6CBZ,0.6633,4.5918,inf
15372-34-6_min,4MGA,27L_redock_4MGA,0.6460,4.5427,inf
15372-34-6_min,3UU7,2OH_redock_3UU7,0.6251,4.4116,inf
15372-34-6_min,4MGC,27M_redock_4MGC,0.6060,4.2948,inf
15372-34-6_min,4TUZ,36J_redock_4TUZ,0.6055,4.2139,inf
15372-34-6_min,4MG9,27K_redock_4MG9,0.5117,3.4623,inf
1806-26-4_min,1G50,EST_redock_1G50,0.9327,6.8481,inf
1806-26-4_min,3UU7,2OH_redock_3UU7,0.9265,6.6628,inf
1806-26-4_min,4ZN7,DES_redock_4ZN7,0.9170,6.6870,inf
1806-26-4_min,4MGA,27L_redock_4MGA,0.9161,6.7575,inf
1806-26-4_min,3UUD,EST_redock_3UUD,0.9142,6.4168,inf
1806-26-4_min,1ERE,EST_redock_1ERE,0.9136,6.6544,inf
1806-26-4_min,3ERD,DES_redock_3ERD,0.9074,6.2889,inf
1806-26-4_min,4MG8,27J_redock_4MG8,0.8964,6.0105,inf
1806-26-4_min,4MG9,27K_redock_4MG9,0.8948,6.3399,inf
1806-26-4_min,6CBZ,EST_redock_6CBZ,0.8817,6.3563,inf
1806-26-4_min,1GWR,EST_redock_1GWR,0.8763,6.1021,inf
1806-26-4_min,4TUZ,36J_redock_4TUZ,0.8537,6.0955,inf
1806-26-4_min,4MGC,27M_redock_4MGC,0.8448,5.6256,inf
1845-11-0_min,4MGA,27L_redock_4MGA,0.5276,3.9359,inf
1845-11-0_min,1G50,EST_redock_1G50,0.4425,3.3655,inf
1845-11-0_min,6CBZ,EST_redock_6CBZ,0.4213,3.0916,inf
1845-11-0_min,3UU7,2OH_redock_3UU7,0.4087,3.0986,inf
1845-11-0_min,3UUD,EST_redock_3UUD,0.4054,3.0848,inf
1845-11-0_min,4MG9,27K_redock_4MG9,0.3924,2.8745,inf
1845-11-0_min,4MG8,27J_redock_4MG8,0.3646,2.7582,inf
1845-11-0_min,1ERE,EST_redock_1ERE,0.2992,2.2738,inf
1845-11-0_min,3ERD,DES_redock_3ERD,0.2656,1.8803,inf
1845-11-0_min,4ZN7,DES_redock_4ZN7,0.2646,1.9690,inf
1845-11-0_min,1GWR,EST_redock_1GWR,0.2273,1.7044,inf
1845-11-0_min,4TUZ,36J_redock_4TUZ,0.2223,1.6190,inf
1845-11-0_min,4MGC,27M_redock_4MGC,0.2212,1.5980,inf
1852-53-5_min,1ERE,EST_redock_1ERE,0.8199,6.6768,0.8946
1852-53-5_min,3UUD,EST_redock_3UUD,0.8183,6.5379,0.9433
1852-53-5_min,6CBZ,EST_redock_6CBZ,0.7995,6.1466,0.8978
1852-53-5_min,4MGC,27M_redock_4MGC,0.7901,6.2711,inf
1852-53-5_min,1GWR,EST_redock_1GWR,0.7834,5.9674,0.8184
1852-53-5_min,4MG8,27J_redock_4MG8,0.7805,6.2001,inf
1852-53-5_min,4MG9,27K_redock_4MG9,0.7459,5.6550,inf
1852-53-5_min,3ERD,DES_redock_3ERD,0.7115,5.4111,inf
1852-53-5_min,3UU7,2OH_redock_3UU7,0.7082,5.5280,inf
1852-53-5_min,1G50,EST_redock_1G50,0.6941,5.3042,6.3432
1852-53-5_min,4TUZ,36J_redock_4TUZ,0.6927,5.2425,inf
1852-53-5_min,4ZN7,DES_redock_4ZN7,0.6177,4.7325,inf
1852-53-5_min,4MGA,27L_redock_4MGA,0.4622,3.4956,inf
2050-68-2_min,4ZN7,DES_redock_4ZN7,0.8755,5.1874,inf
2050-68-2_min,3ERD,DES_redock_3ERD,0.8389,4.6250,inf
2050-68-2_min,4MGC,27M_redock_4MGC,0.7796,4.3676,inf
2050-68-2_min,3UUD,EST_redock_3UUD,0.7487,4.2564,inf
2050-68-2_min,4MG8,27J_redock_4MG8,0.7367,4.1250,inf
2050-68-2_min,4MG9,27K_redock_4MG9,0.7221,3.7796,inf
2050-68-2_min,4MGA,27L_redock_4MGA,0.7064,3.9049,inf
2050-68-2_min,4TUZ,36J_redock_4TUZ,0.6918,3.9833,inf
2050-68-2_min,3UU7,2OH_redock_3UU7,0.6689,3.7054,inf
2050-68-2_min,6CBZ,EST_redock_6CBZ,0.6648,3.7802,inf
2050-68-2_min,1GWR,EST_redock_1GWR,0.6424,3.5183,inf
2050-68-2_min,1G50,EST_redock_1G50,0.6263,3.4406,inf
2050-68-2_min,1ERE,EST_redock_1ERE,0.6020,3.5205,inf
218-01-9_min,3ERD,DES_redock_3ERD,0.9131,5.7743,inf
218-01-9_min,4ZN7,DES_redock_4ZN7,0.8919,5.6067,inf
218-01-9_min,3UUD,EST_redock_3UUD,0.8870,5.5857,inf
218-01-9_min,6CBZ,EST_redock_6CBZ,0.8816,5.4954,inf
218-01-9_min,4TUZ,36J_redock_4TUZ,0.8760,5.4458,inf
218-01-9_min,1G50,EST_redock_1G50,0.8596,5.4562,inf
218-01-9_min,4MG8,27J_redock_4MG8,0.8583,5.4520,inf
218-01-9_min,1GWR,EST_redock_1GWR,0.8503,5.3602,inf
218-01-9_min,4MG9,27K_redock_4MG9,0.8461,5.1921,inf
218-01-9_min,1ERE,EST_redock_1ERE,0.8448,5.2369,inf
218-01-9_min,4MGC,27M_redock_4MGC,0.8387,4.9727,inf
218-01-9_min,3UU7,2OH_redock_3UU7,0.8222,5.0500,inf
218-01-9_min,4MGA,27L_redock_4MGA,0.8014,4.8612,inf
243-17-4_min,4ZN7,DES_redock_4ZN7,0.9094,5.7647,inf
243-17-4_min,3ERD,DES_redock_3ERD,0.8982,5.5414,inf
243-17-4_min,4MGC,27M_redock_4MGC,0.8811,5.3010,inf
243-17-4_min,6CBZ,EST_redock_6CBZ,0.8747,5.3548,inf
243-17-4_min,3UUD,EST_redock_3UUD,0.8703,5.3998,inf
243-17-4_min,4TUZ,36J_redock_4TUZ,0.8589,5.2671,inf
243-17-4_min,1ERE,EST_redock_1ERE,0.8453,5.2270,inf
243-17-4_min,1GWR,EST_redock_1GWR,0.8429,5.1089,inf
243-17-4_min,1G50,EST_redock_1G50,0.8413,5.2875,inf
243-17-4_min,3UU7,2OH_redock_3UU7,0.8343,4.9976,inf
243-17-4_min,4MG8,27J_redock_4MG8,0.8272,4.8295,inf
243-17-4_min,4MG9,27K_redock_4MG9,0.8191,4.9181,inf
243-17-4_min,4MGA,27L_redock_4MGA,0.7972,4.7769,inf
25154-52-3_min,4TUZ,36J_redock_4TUZ,0.8281,5.8839,inf
25154-52-3_min,4MG8,27J_redock_4MG8,0.8242,5.4330,inf
25154-52-3_min,4MG9,27K_redock_4MG9,0.8185,5.3331,inf
25154-52-3_min,4MGC,27M_redock_4MGC,0.8153,5.3363,inf
25154-52-3_min,1ERE,EST_redock_1ERE,0.8137,5.7093,inf
25154-52-3_min,3UUD,EST_redock_3UUD,0.8028,5.4002,inf
25154-52-3_min,1G50,EST_redock_1G50,0.7919,5.5414,inf
25154-52-3_min,6CBZ,EST_redock_6CBZ,0.7739,5.4590,inf
25154-52-3_min,1GWR,EST_redock_1GWR,0.7672,5.1026,inf
25154-52-3_min,4ZN7,DES_redock_4ZN7,0.7635,5.3952,inf
25154-52-3_min,4MGA,27L_redock_4MGA,0.7551,5.0957,inf
25154-52-3_min,3UU7,2OH_redock_3UU7,0.6481,4.3128,inf
25154-52-3_min,3ERD,DES_redock_3ERD,0.6184,4.0492,inf
2529-64-8_min,3UUD,EST_redock_3UUD,0.9568,7.1399,inf
2529-64-8_min,6CBZ,EST_redock_6CBZ,0.9452,7.0996,inf
2529-64-8_min,4MG8,27J_redock_4MG8,0.9438,6.9571,inf
2529-64-8_min,4MGC,27M_redock_4MGC,0.9376,6.9778,inf
2529-64-8_min,1GWR,EST_redock_1GWR,0.9366,6.9839,inf
2529-64-8_min,4TUZ,36J_redock_4TUZ,0.9283,6.9644,inf
2529-64-8_min,1ERE,EST_redock_1ERE,0.8904,6.4675,inf
2529-64-8_min,3ERD,DES_redock_3ERD,0.8832,6.4519,inf
2529-64-8_min,4ZN7,DES_redock_4ZN7,0.8655,6.4222,inf
2529-64-8_min,1G50,EST_redock_1G50,0.8513,6.1262,inf
2529-64-8_min,4MG9,27K_redock_4MG9,0.7561,5.3196,inf
2529-64-8_min,3UU7,2OH_redock_3UU7,0.7207,5.1985,inf
2529-64-8_min,4MGA,27L_redock_4MGA,0.6822,4.8010,inf
28034-99-3_min,4ZN7,DES_redock_4ZN7,0.9545,6.3564,inf
28034-99-3_min,1G50,EST_redock_1G50,0.9447,6.4039,inf
28034-99-3_min,4MGA,27L_redock_4MGA,0.9445,6.2623,inf
28034-99-3_min,3ERD,DES_redock_3ERD,0.9401,5.9123,inf
28034-99-3_min,3UUD,EST_redock_3UUD,0.9253,6.1316,inf
28034-99-3_min,3UU7,2OH_redock_3UU7,0.9249,6.0782,inf
28034-99-3_min,4MGC,27M_redock_4MGC,0.9238,5.8124,inf
28034-99-3_min,1ERE,EST_redock_1ERE,0.9140,6.1561,inf
28034-99-3_min,4MG8,27J_redock_4MG8,0.9096,5.6722,inf
28034-99-3_min,4MG9,27K_redock_4MG9,0.9058,5.7506,inf
28034-99-3_min,1GWR,EST_redock_1GWR,0.9024,5.5542,inf
28034-99-3_min,6CBZ,EST_redock_6CBZ,0.9004,5.7696,inf
28034-99-3_min,4TUZ,36J_redock_4TUZ,0.9000,5.9833,inf
28463-03-8_min,3UU7,2OH_redock_3UU7,0.9687,7.4094,inf
28463-03-8_min,4MG9,27K_redock_4MG9,0.9464,7.1157,inf
28463-03-8_min,4MGA,27L_redock_4MGA,0.9295,7.2062,inf
28463-03-8_min,6CBZ,EST_redock_6CBZ,0.9237,7.0989,inf
28463-03-8_min,1G50,EST_redock_1G50,0.9137,7.3848,inf
28463-03-8_min,4ZN7,DES_redock_4ZN7,0.9119,7.3265,inf
28463-03-8_min,4MG8,27J_redock_4MG8,0.9091,7.0021,inf
28463-03-8_min,1GWR,EST_redock_1GWR,0.9002,6.8924,inf
28463-03-8_min,3ERD,DES_redock_3ERD,0.8684,6.8159,inf
28463-03-8_min,1ERE,EST_redock_1ERE,0.8657,6.8856,inf
28463-03-8_min,4MGC,27M_redock_4MGC,0.8607,6.4741,inf
28463-03-8_min,3UUD,EST_redock_3UUD,0.8473,6.3894,inf
28463-03-8_min,4TUZ,36J_redock_4TUZ,0.8081,6.2316,inf
2971-36-0_min,4MGA,27L_redock_4MGA,0.9765,7.7474,inf
2971-36-0_min,3UU7,2OH_redock_3UU7,0.9725,7.5945,inf
2971-36-0_min,3ERD,DES_redock_3ERD,0.9684,7.6253,inf
2971-36-0_min,4ZN7,DES_redock_4ZN7,0.9656,7.6372,inf
2971-36-0_min,1ERE,EST_redock_1ERE,0.9594,7.7242,inf
2971-36-0_min,1GWR,EST_redock_1GWR,0.9502,7.3005,inf
2971-36-0_min,3UUD,EST_redock_3UUD,0.9295,7.1087,inf
2971-36-0_min,6CBZ,EST_redock_6CBZ,0.9217,6.9280,inf
2971-36-0_min,4MG8,27J_redock_4MG8,0.9205,6.8450,inf
2971-36-0_min,4MG9,27K_redock_4MG9,0.9122,6.7439,inf
2971-36-0_min,4TUZ,36J_redock_4TUZ,0.8959,6.9724,inf
2971-36-0_min,1G50,EST_redock_1G50,0.8842,6.7425,inf
2971-36-0_min,4MGC,27M_redock_4MGC,0.8728,6.7157,inf
3434-79-5_min,1GWR,EST_redock_1GWR,0.8101,6.1982,0.4494
3434-79-5_min,3ERD,DES_redock_3ERD,0.7950,6.3711,inf
3434-79-5_min,3UUD,EST_redock_3UUD,0.7517,5.8842,6.6074
3434-79-5_min,6CBZ,EST_redock_6CBZ,0.7467,5.9437,6.2293
3434-79-5_min,3UU7,2OH_redock_3UU7,0.7171,5.5308,inf
3434-79-5_min,4ZN7,DES_redock_4ZN7,0.7100,5.6754,inf
3434-79-5_min,1ERE,EST_redock_1ERE,0.6979,5.3468,0.4944
3434-79-5_min,1G50,EST_redock_1G50,0.6970,5.4792,6.3527
3434-79-5_min,4MG9,27K_redock_4MG9,0.6810,5.2047,inf
3434-79-5_min,4MG8,27J_redock_4MG8,0.6472,4.9378,inf
3434-79-5_min,4TUZ,36J_redock_4TUZ,0.6468,4.8218,inf
3434-79-5_min,4MGA,27L_redock_4MGA,0.6137,4.7512,inf
3434-79-5_min,4MGC,27M_redock_4MGC,0.5928,4.3192,inf
3601-97-6_min,4ZN7,DES_redock_4ZN7,0.9879,8.3520,inf
3601-97-6_min,6CBZ,EST_redock_6CBZ,0.9869,8.0874,inf
3601-97-6_min,3UUD,EST_redock_3UUD,0.9848,7.7452,inf
3601-97-6_min,4MGC,27M_redock_4MGC,0.9818,7.9265,inf
3601-97-6_min,3ERD,DES_redock_3ERD,0.9813,7.7337,inf
3601-97-6_min,1G50,EST_redock_1G50,0.9809,7.8993,inf
3601-97-6_min,4MG8,27J_redock_4MG8,0.9807,7.5960,inf
3601-97-6_min,1ERE,EST_redock_1ERE,0.9798,7.7270,inf
3601-97-6_min,1GWR,EST_redock_1GWR,0.9769,7.7345,inf
3601-97-6_min,4TUZ,36J_redock_4TUZ,0.9765,7.8865,inf
3601-97-6_min,4MG9,27K_redock_4MG9,0.9531,7.3182,inf
3601-97-6_min,3UU7,2OH_redock_3UU7,0.9338,7.4883,inf
3601-97-6_min,4MGA,27L_redock_4MGA,0.9069,7.1094,inf
481-30-1_min,3UUD,EST_redock_3UUD,0.8790,6.8653,0.7315
481-30-1_min,6CBZ,EST_redock_6CBZ,0.8751,6.7594,0.8102
481-30-1_min,4MG9,27K_redock_4MG9,0.8689,6.5061,inf
481-30-1_min,4MGC,27M_redock_4MGC,0.8385,6.4475,inf
481-30-1_min,1ERE,EST_redock_1ERE,0.8369,6.4340,0.8333
481-30-1_min,4TUZ,36J_redock_4TUZ,0.8229,6.2929,inf
481-30-1_min,3ERD,DES_redock_3ERD,0.8164,5.9881,inf
481-30-1_min,1G50,EST_redock_1G50,0.8057,6.1750,0.9356
481-30-1_min,4MG8,27J_redock_4MG8,0.7926,6.0625,inf
481-30-1_min,1GWR,EST_redock_1GWR,0.7709,5.7530,0.8229
481-30-1_min,4ZN7,DES_redock_4ZN7,0.7533,5.8290,inf
481-30-1_min,3UU7,2OH_redock_3UU7,0.6809,5.0625,inf
481-30-1_min,4MGA,27L_redock_4MGA,0.5978,4.4449,inf
50-02-2_min,4MG9,27K_redock_4MG9,0.6648,4.8300,inf
50-02-2_min,1ERE,EST_redock_1ERE,0.5913,4.5797,1.3278
50-02-2_min,4TUZ,36J_redock_4TUZ,0.5240,3.8440,inf
50-02-2_min,4MGC,27M_redock_4MGC,0.4982,3.6768,inf
50-02-2_min,1GWR,EST_redock_1GWR,0.4869,3.6378,1.1941
50-02-2_min,3UUD,EST_redock_3UUD,0.4810,3.4680,6.4650
50-02-2_min,6CBZ,EST_redock_6CBZ,0.4676,3.3999,1.2317
50-02-2_min,4MG8,27J_redock_4MG8,0.4276,3.1082,inf
50-02-2_min,4ZN7,DES_redock_4ZN7,0.3827,2.7580,inf
50-02-2_min,3ERD,DES_redock_3ERD,0.3643,2.5887,inf
50-02-2_min,4MGA,27L_redock_4MGA,0.2546,1.7888,inf
50-02-2_min,3UU7,2OH_redock_3UU7,0.2303,1.6786,inf
50-02-2_min,1G50,EST_redock_1G50,0.2285,1.6709,1.3776
50-22-6_min,3ERD,DES_redock_3ERD,0.8104,6.0464,inf
50-22-6_min,4MGC,27M_redock_4MGC,0.7928,5.9130,inf
50-22-6_min,1ERE,EST_redock_1ERE,0.7445,5.3767,inf
50-22-6_min,4MG9,27K_redock_4MG9,0.7385,5.5718,inf
50-22-6_min,4MG8,27J_redock_4MG8,0.7275,5.5190,inf
50-22-6_min,4ZN7,DES_redock_4ZN7,0.7064,5.1830,inf
50-22-6_min,4TUZ,36J_redock_4TUZ,0.7053,5.2447,inf
50-22-6_min,6CBZ,EST_redock_6CBZ,0.7039,5.1230,inf
50-22-6_min,3UU7,2OH_redock_3UU7,0.6977,5.2598,inf
50-22-6_min,1G50,EST_redock_1G50,0.6727,4.9996,inf
50-22-6_min,3UUD,EST_redock_3UUD,0.6581,4.9091,inf
50-22-6_min,1GWR,EST_redock_1GWR,0.6312,4.6436,inf
